
==============================================================
  Advanced Analysis: 20260517_200406_mp_hs_S10_Vid13_bright.csv
  signal_col=hs_fear  threshold=0.7  min_frames=10  window=15fr  fill=65%
  pad_start=-0.5s  pad_end=+1.0s
==============================================================
  Precision : 100.00%  (how clean are your triggers?)
  Recall    : 44.44%  (how many scares did you catch?)
  F1-Score  : 0.6154
  Triggers  : 6 total  (0 FP / 6 hit-any-GT)
  GT Events : 4/9 caught  (0 excluded from scoring)

--- Recall by Label (scoreable) ---
label  caught  total recall_%
 Fear       4      9      44%

--- Missed Events (False Negatives) ---
 time label  peak_hs_fear  mean_hs_fear face_detected_%
02:11  Fear         0.664         0.143            100%
03:19  Fear         0.390         0.134            100%
03:34  Fear         0.487         0.054            100%
04:50  Fear         0.693         0.327            100%
06:30  Fear         0.537         0.256            100%

======================================================================
  === Formula: hs_fear (hs_fear) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.40      10     10    57.14%    88.89%    0.6957         14
   0.40      10     15    57.14%    88.89%    0.6957         14
   0.40      10     20    66.67%    88.89%    0.7619         12
   0.40      12  strict    66.67%    88.89%    0.7619         12
   0.40      12     10    57.14%    88.89%    0.6957         14
   0.40      12     15    57.14%    88.89%    0.6957         14
   0.40      12     20    66.67%    88.89%    0.7619         12
   0.40      15  strict    75.00%    66.67%    0.7059          8
   0.40      15     10    57.14%    88.89%    0.6957         14
   0.40      15     15    57.14%    88.89%    0.6957         14
   0.40      15     20    66.67%    88.89%    0.7619         12

   0.50       5  strict    75.00%    66.67%    0.7059          8
   0.50       5     10    77.78%    77.78%    0.7778          9 <-- BEST F1
   0.50       5     15    77.78%    77.78%    0.7778          9 <-- BEST F1
   0.50       5     20    85.71%    66.67%    0.7500          7
   0.50       8  strict    75.00%    66.67%    0.7059          8
   0.50       8     10    77.78%    77.78%    0.7778          9 <-- BEST F1
   0.50       8     15    77.78%    77.78%    0.7778          9 <-- BEST F1
   0.50       8     20    85.71%    66.67%    0.7500          7
   0.50      10  strict    85.71%    66.67%    0.7500          7
