frame,timestamp,hs_crop_source,mp_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_tension_v3,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
41,1.367,haar,full_frame,0.0091,Neutral,CONC,---,AMBIGUOUS,---,0.0269,0.0152,0.7253,0.0000,0.0636,0.1009,0.0212,-0.000047,IDLE,"56,79,156,190",-0.3138,0.0000
42,1.400,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0177,-0.0221,0.7199,0.0000,0.0645,0.3626,0.0210,-0.000065,IDLE,"56,79,155,190",-0.2966,0.0000
43,1.433,haar,full_frame,0.0022,Neutral,CONC,---,AMBIGUOUS,---,0.0157,0.0037,0.7598,0.0000,0.0611,0.0003,0.0208,-0.000077,IDLE,"55,79,154,190",-0.2558,0.0000
44,1.467,haar,full_frame,0.0034,Neutral,CONC,---,AMBIGUOUS,---,0.0172,0.0057,0.7556,0.0000,0.0574,0.0521,0.0206,-0.000090,IDLE,"55,79,153,190",-0.2201,0.0000
45,1.500,haar,full_frame,0.0362,Neutral,CONC,---,AMBIGUOUS,---,0.0325,0.0603,0.6835,0.0000,0.0518,0.1654,0.0206,-0.000106,IDLE,"55,79,153,190",-0.1594,0.0000
46,1.533,haar,full_frame,0.0027,Neutral,---,---,AMBIGUOUS,---,0.0189,0.0046,0.7467,0.0000,0.1977,0.2080,0.0204,-0.000141,IDLE,"55,80,153,190",-0.1169,0.0000
47,1.567,haar,full_frame,0.0031,Neutral,---,---,AMBIGUOUS,---,0.0213,0.0052,0.7532,0.0000,0.1958,0.6718,0.0203,-0.000154,IDLE,"55,80,153,191",-0.1065,0.0000
48,1.600,haar,full_frame,0.0258,Neutral,---,---,AMBIGUOUS,---,0.0260,0.0430,0.7331,0.0000,0.2071,0.8495,0.0203,-0.000128,IDLE,"55,80,153,191",-0.1188,0.0001
49,1.633,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0200,-0.0133,0.7428,0.0000,0.2131,0.0022,0.0201,-0.000115,IDLE,"55,80,153,192",-0.1375,0.0000
50,1.667,haar,full_frame,0.0045,Neutral,---,---,AMBIGUOUS,---,0.0284,0.0076,0.7188,0.0000,0.2110,0.0007,0.0201,-0.000113,IDLE,"54,80,153,192",-0.1435,0.0000
