event_id,tier,cluster_start_s,cluster_end_s,duration_s,peak_t,vote_count_peak,vote_count_mean,channels_active,verdict,category,start_s,end_s,context,peak_f0,mean_f0,peak_f1,mean_f1,peak_f2,mean_f2,peak_f3,mean_f3,peak_f4,mean_f4,peak_f5,mean_f5,peak_f6,mean_f6,cluster_emotion,peak_hs_fear,peak_hs_surprise,peak_hs_arousal,peak_mp_tension,peak_mp_startle,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,no_face_pct,n_veto_frames,scene_cut_bounded,rppg_bpm_chrom,rppg_pre_bpm_chrom,rppg_delta_chrom,rppg_bpm_pos,rppg_pre_bpm_pos,rppg_delta_pos,rppg_bpm_green,rppg_pre_bpm_green,rppg_delta_green,rppg_impression,rppg_notes
E24,CONFIRMED,125.900,127.100,1.20,125.900,5,4.4,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3810,0.2013,0.5024,0.3139,0.3894,0.2830,0.5174,0.3104,0.3810,0.2013,0.5760,0.2785,0.5000,0.3110,Fear,0.6859,0.2527,0.4641,0.1103,11.830,27,5,0,0,0,0,0,5,0.0,0,False,,,,,,,,,,,
E25,CANDIDATE,131.267,131.667,0.40,131.267,3,3.0,"DOM_FEAR,FEAR_THR,CROSS_MODAL",,,,,,0.1845,0.1156,0.3198,0.2068,0.2545,0.1704,0.3081,0.1996,0.1845,0.1156,0.2639,0.1706,0.2947,0.1941,Fear,0.3897,0.1342,0.2156,0.1157,0.030,4,0,0,0,0,0,0,9,0.0,0,False,,,,,,,,,,,
E26,CANDIDATE,134.167,141.400,7.23,134.433,4,3.0,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2482,0.1218,0.3771,0.2494,0.3133,0.2316,0.3586,0.2277,0.2482,0.1218,0.3372,0.2065,0.3731,0.2417,Fear,0.4864,0.1979,0.3018,0.1237,0.010,140,8,0,0,0,0,0,70,0.0,0,False,,,,,,,,,,,
E27,CANDIDATE,146.533,146.933,0.40,146.567,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3960,0.3185,0.2733,0.1904,0.2232,0.1554,0.3221,0.2463,0.3682,0.0535,0.2485,0.1670,0.1999,0.1123,Fear,0.3657,0.1150,0.4553,0.1348,1.260,2,0,11,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E28,CONFIRMED,148.433,149.000,0.57,148.733,6,4.6,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3269,0.2362,0.4347,0.2903,0.3543,0.2685,0.4487,0.2989,0.3269,0.2362,0.3582,0.2517,0.4221,0.2712,Surprise,0.2664,0.2784,0.2737,0.1231,0.010,12,6,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E29,CONFIRMED,150.033,157.000,6.97,151.467,6,4.3,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.6073,0.2355,0.5636,0.3472,0.4108,0.2997,0.5669,0.3430,0.6073,0.2347,0.6376,0.2993,0.5552,0.3358,Fear,0.6027,0.2846,0.5404,0.2079,2.030,168,21,0,0,0,0,0,21,0.0,0,False,,,,,,,,,,,
E30,CONFIRMED,157.833,162.667,4.83,158.567,5,3.4,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3795,0.2281,0.4702,0.3490,0.3546,0.2793,0.4792,0.3513,0.3795,0.2281,0.5342,0.2945,0.4602,0.3367,Fear,0.3727,0.1773,0.2781,0.1064,2.060,134,1,0,0,0,0,0,11,0.0,0,False,,,,,,,,,,,
E31,CONFIRMED,164.200,167.500,3.30,166.267,6,4.0,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5622,0.2492,0.5709,0.3571,0.4157,0.2914,0.6405,0.3624,0.5622,0.2492,0.6315,0.3089,0.5679,0.3474,Fear,0.4626,0.3701,0.3027,0.1072,0.270,72,8,0,0,0,0,0,20,0.0,0,False,,,,,,,,,,,
E32,CANDIDATE,168.267,169.467,1.20,168.267,4,3.7,"DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2755,0.1834,0.1976,0.1150,0.2508,0.1809,0.2317,0.1365,0.2755,0.1696,0.1943,0.1026,0.1902,0.1105,Surprise,0.1757,0.5061,0.3545,0.1451,0.130,0,27,0,0,0,0,0,10,0.0,0,False,,,,,,,,,,,
E33,CONFIRMED,171.067,174.367,3.30,171.800,6,3.9,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3926,0.2171,0.4918,0.3046,0.3790,0.2649,0.5019,0.3091,0.3926,0.2171,0.5580,0.2613,0.4857,0.2952,Surprise,0.3338,0.4963,0.3695,0.1136,0.010,62,7,0,0,0,0,0,31,0.0,0,False,,,,,,,,,,,
