frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
21,0.700,haar,0.0000,Happiness,JOY,---,,---,0.0001,-0.0393,0.6607,0.0794,0.0216,0.0082,0.0318,0.0322,0.0160,0.0000,0.0243,0.0317,0.0001,0.0794,0.0794,0.0025,0.0000,0.0000,0.0001,0.0000,0.000000,IDLE,0,0.1758,0.3637,0.1800,0.3606,0.0026,0.0039,0.0020,0.3262,0.2755,0.1410,0.1806,0.0000,0.0000,0.3055,0.3637,0.0011,0.0000,0.0000,0.0000,0.0000,0.0202,0.0216,0.0154,0.0040,0.0000,0.0000,0.0000,0.0033,0.2415,0.0003,0.0001,0.6607,0.0861,0.0063,0.0017,1,1,21.6,32.0,406.1
22,0.733,haar,0.0058,Happiness,JOY,---,,---,0.0000,0.0186,0.7842,0.0326,0.0037,0.0242,0.0131,0.0131,0.0135,0.0000,0.0099,0.0130,0.0000,0.0326,0.0326,0.0009,0.0000,0.0058,0.0000,0.0003,0.000026,IDLE,0,0.2799,0.4073,0.1553,0.3584,0.0027,0.0038,0.0019,0.3357,0.3004,0.0986,0.1073,0.0000,0.0000,0.4073,0.3978,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.0007,0.1975,0.0001,0.0000,0.7842,0.0153,0.0017,0.0005,1,1,23.0,32.0,406.1
23,0.767,haar,0.0198,Happiness,JOY,---,,---,0.0000,0.0658,0.8987,0.0000,1.6301,0.0395,0.0000,0.0002,0.0132,0.0000,0.0326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,0.0011,0.000111,IDLE,0,0.5643,0.6151,0.1256,0.2986,0.0037,0.0043,0.0020,0.3507,0.3134,0.1174,0.1616,0.0000,0.0000,0.5495,0.6151,0.0008,0.0000,0.0000,0.0000,0.0000,0.0145,0.0033,0.0297,0.0000,0.5653,1.6301,0.0000,0.0003,0.0951,0.0001,0.0000,0.8987,0.0044,0.0006,0.0008,1,1,23.3,32.0,406.1
24,0.800,haar,0.0067,Happiness,JOY,---,,---,0.0000,0.0224,0.8683,0.0000,0.4308,0.0135,0.0000,0.0001,0.0045,0.0000,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.0000,0.0013,0.000135,IDLE,0,0.7193,0.7469,0.1258,0.3143,0.0036,0.0045,0.0019,0.3614,0.3083,0.1318,0.1538,0.0000,0.0000,0.6621,0.7469,0.0008,0.0000,0.0000,0.0000,0.0000,0.0051,0.0000,0.0000,0.0000,0.4308,0.0000,0.0000,0.0003,0.1254,0.0001,0.0000,0.8683,0.0042,0.0010,0.0005,1,1,21.6,31.3,406.1
25,0.833,haar,0.0244,Happiness,JOY,---,,---,0.0000,0.0812,0.9170,0.0000,0.0491,0.0487,0.0000,0.0001,0.0162,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0244,0.0000,0.0023,0.000227,IDLE,0,0.7479,0.7509,0.1113,0.2949,0.0052,0.0045,0.0023,0.3572,0.3421,0.0927,0.0973,0.0001,0.0001,0.6757,0.7509,0.0007,0.0000,0.0000,0.0000,0.0000,0.0005,0.0102,0.0491,0.0000,0.0000,0.0000,0.0000,0.0002,0.0789,0.0000,0.0000,0.9170,0.0030,0.0004,0.0005,1,1,21.0,31.3,406.1
26,0.867,haar,0.0153,Happiness,JOY,---,,---,0.0000,0.0511,0.8668,0.0000,0.0000,0.0306,0.0000,0.0002,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,0.0000,0.0028,0.000277,IDLE,0,0.7994,0.7766,0.1316,0.2874,0.0050,0.0038,0.0022,0.3667,0.3846,0.0573,0.0724,0.0003,0.0003,0.7373,0.7766,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.1267,0.0002,0.0000,0.8668,0.0039,0.0013,0.0007,1,1,21.1,31.3,406.1
27,0.900,haar,0.0135,Happiness,JOY,---,,---,0.0000,0.0451,0.9044,0.0000,0.0028,0.0270,0.0000,0.0001,0.0090,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0135,0.0000,0.0032,0.000317,IDLE,0,0.8413,0.8076,0.1323,0.2959,0.0033,0.0039,0.0023,0.4127,0.4341,0.0364,0.0572,0.0004,0.0003,0.7759,0.8076,0.0004,0.0000,0.0000,0.0000,0.0000,0.0028,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0926,0.0001,0.0000,0.9044,0.0020,0.0004,0.0004,1,1,21.2,31.3,406.1
28,0.933,haar,0.0195,Happiness,JOY,---,,---,0.0000,0.0648,0.9667,0.0000,0.3092,0.0389,0.0000,0.0000,0.0130,0.0000,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0195,0.0000,0.0037,0.000375,IDLE,0,0.8693,0.8205,0.1316,0.2821,0.0037,0.0040,0.0023,0.4414,0.4632,0.0410,0.0676,0.0003,0.0003,0.7942,0.8205,0.0004,0.0000,0.0000,0.0000,0.0000,0.0034,0.0001,0.0108,0.0012,0.1400,0.3092,0.0000,0.0001,0.0323,0.0000,0.0000,0.9667,0.0006,0.0002,0.0002,1,1,21.1,31.3,406.1
29,0.967,haar,0.0159,Happiness,JOY,---,,---,0.0000,0.0531,0.9767,0.0000,0.1461,0.0318,0.0000,0.0000,0.0106,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0159,0.0000,0.0042,0.000417,IDLE,0,0.8950,0.8330,0.1409,0.2622,0.0046,0.0044,0.0029,0.4359,0.4733,0.0452,0.0724,0.0002,0.0002,0.8121,0.8330,0.0005,0.0000,0.0000,0.0000,0.0000,0.0099,0.0181,0.0282,0.0041,0.1243,0.1461,0.0000,0.0000,0.0223,0.0000,0.0000,0.9767,0.0005,0.0002,0.0002,1,1,22.1,29.4,406.2
30,1.000,haar,0.0199,Happiness,JOY,---,,---,0.0000,0.0664,0.9703,0.0000,0.0972,0.0398,0.0000,0.0000,0.0133,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0199,0.0000,0.0047,0.000469,IDLE,0,0.8993,0.8483,0.1563,0.2822,0.0043,0.0041,0.0029,0.4235,0.4697,0.0467,0.0757,0.0001,0.0001,0.8297,0.8483,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0465,0.0972,0.0000,0.0001,0.0287,0.0000,0.0000,0.9703,0.0006,0.0001,0.0002,1,1,22.9,29.4,406.2
