frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
95,3.170,mp,0.0172,Neutral,---,---,AMBIGUOUS,---,0.0365,-0.0281,0.3652,0.0853,0.1444,0.1170,-0.001762,IDLE,"118,49,199,144",-0.0466,0.0000
96,3.203,mp,0.0166,Neutral,---,---,AMBIGUOUS,---,0.0369,-0.0271,0.3637,0.0823,0.0822,0.1142,-0.001866,IDLE,"118,49,199,144",-0.0546,0.0000
97,3.237,mp,0.0155,Neutral,---,---,AMBIGUOUS,---,0.0340,-0.0287,0.3137,0.0816,0.1100,0.1113,-0.002028,IDLE,"119,49,199,144",-0.0491,0.0000
98,3.270,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0364,-0.0831,0.3612,0.0866,0.1403,0.1088,-0.002166,IDLE,"120,50,199,143",-0.0482,0.0000
99,3.303,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0361,-0.0837,0.3646,0.0851,0.1135,0.1064,-0.002291,IDLE,"120,50,199,143",-0.0445,0.0000
100,3.337,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0356,-0.0953,0.3627,0.0880,0.2960,0.1037,-0.002473,IDLE,"120,50,199,143",-0.0465,0.0000
101,3.370,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0520,-0.0965,0.3561,0.0943,0.1886,0.1012,-0.002424,IDLE,"120,50,199,143",-0.0616,0.0000
102,3.403,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0519,-0.0980,0.3606,0.0970,0.1395,0.0988,-0.002385,IDLE,"120,50,199,143",-0.0657,0.0000
103,3.437,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0408,-0.0726,0.3211,0.0947,0.1018,0.0983,-0.002156,IDLE,"120,50,199,143",-0.0590,0.0000
104,3.470,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0280,-0.0843,0.3826,0.0956,0.1450,0.0978,-0.001921,IDLE,"120,50,199,142",-0.0620,0.0000
105,3.504,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0259,-0.0888,0.3833,0.0948,0.0357,0.0972,-0.001691,IDLE,"120,50,200,142",-0.0575,0.0000
106,3.537,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0250,-0.0865,0.3806,0.0947,0.0124,0.0967,-0.001459,IDLE,"120,50,200,142",-0.0561,0.0000
107,3.570,mp,0.0042,Neutral,---,---,AMBIGUOUS,---,0.0316,-0.0567,0.3409,0.0957,0.0007,0.0963,-0.001254,IDLE,"120,50,200,143",-0.0563,0.0000
108,3.604,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0304,-0.0653,0.3560,0.0970,0.0000,0.0955,-0.001085,IDLE,"120,50,200,143",-0.0541,0.0000
109,3.637,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0255,-0.1133,0.4465,0.0951,0.0175,0.0947,-0.000897,IDLE,"120,51,200,143",-0.0551,0.0000
110,3.670,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0226,-0.1061,0.4466,0.0947,0.1572,0.0939,-0.000729,IDLE,"120,51,199,143",-0.0466,0.0000
111,3.704,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0214,-0.1159,0.4565,0.0954,0.0280,0.0929,-0.000592,IDLE,"120,51,199,143",-0.0435,0.0000
112,3.737,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0285,-0.1085,0.4075,0.0944,0.0626,0.0917,-0.000667,IDLE,"119,51,199,143",-0.0419,0.0000
113,3.770,mp,0.0028,Neutral,---,---,AMBIGUOUS,---,0.0148,-0.0521,0.3745,0.0850,0.2798,0.0904,-0.000745,IDLE,"119,51,199,143",-0.0354,0.0000
