frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
99,3.303,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0246,-0.1213,0.3798,0.0851,0.1135,0.1213,-0.002759,IDLE,"120,50,199,143",-0.0445,0.0000
100,3.337,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0333,-0.1132,0.3560,0.0880,0.2960,0.1184,-0.002905,IDLE,"120,50,199,143",-0.0465,0.0000
101,3.370,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0489,-0.1318,0.3704,0.0943,0.1886,0.1156,-0.002849,IDLE,"120,50,199,143",-0.0616,0.0000
102,3.403,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0493,-0.1341,0.3697,0.0970,0.1395,0.1127,-0.002810,IDLE,"120,50,199,143",-0.0657,0.0000
103,3.437,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0321,-0.1155,0.3605,0.0947,0.1018,0.1118,-0.002569,IDLE,"120,50,199,143",-0.0590,0.0000
104,3.470,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0147,-0.1243,0.3635,0.0956,0.1450,0.1107,-0.002328,IDLE,"120,50,199,142",-0.0620,0.0000
105,3.504,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0173,-0.1284,0.3682,0.0948,0.0357,0.1095,-0.002107,IDLE,"120,50,200,142",-0.0575,0.0000
106,3.537,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0169,-0.1221,0.3605,0.0947,0.0124,0.1085,-0.001885,IDLE,"120,50,200,142",-0.0561,0.0000
107,3.570,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0216,-0.1014,0.4066,0.0957,0.0007,0.1076,-0.001680,IDLE,"120,50,200,143",-0.0563,0.0000
108,3.604,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0258,-0.1006,0.4278,0.0970,0.0000,0.1065,-0.001486,IDLE,"120,50,200,143",-0.0541,0.0000
109,3.637,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0184,-0.1371,0.4891,0.0951,0.0175,0.1052,-0.001317,IDLE,"120,51,200,143",-0.0551,0.0000
110,3.670,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0169,-0.1428,0.4922,0.0947,0.1572,0.1041,-0.001149,IDLE,"120,51,199,143",-0.0466,0.0000
111,3.704,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0165,-0.1445,0.4932,0.0954,0.0280,0.1027,-0.000998,IDLE,"120,51,199,143",-0.0435,0.0000
112,3.737,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0143,-0.1650,0.4530,0.0944,0.0626,0.1010,-0.001072,IDLE,"119,51,199,143",-0.0419,0.0000
113,3.770,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0100,-0.0815,0.4493,0.0850,0.2798,0.0994,-0.001125,IDLE,"119,51,199,143",-0.0354,0.0000
114,3.804,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0098,-0.0836,0.4499,0.0848,0.0289,0.0974,-0.001208,IDLE,"119,51,199,143",-0.0335,0.0000
115,3.837,mp,0.1076,Neutral,---,---,AMBIGUOUS,---,0.0357,0.1250,0.3200,0.0815,0.0656,0.0965,-0.001203,IDLE,"119,51,199,145",-0.0256,0.0000
116,3.871,mp,0.1097,Neutral,---,---,AMBIGUOUS,---,0.0381,0.1301,0.3145,0.0790,0.0526,0.0955,-0.001209,IDLE,"120,51,199,145",-0.0248,0.0000
117,3.904,mp,0.1170,Neutral,---,---,AMBIGUOUS,---,0.0401,0.1418,0.3020,0.0798,0.0053,0.0946,-0.001186,IDLE,"120,51,199,145",-0.0290,0.0000
118,3.937,mp,0.1166,Neutral,---,---,AMBIGUOUS,---,0.0426,0.1405,0.2993,0.0809,0.1717,0.0939,-0.001126,IDLE,"120,51,199,145",-0.0255,0.0000
119,3.971,mp,0.1547,Surprise,---,---,AMBIGUOUS,---,0.0211,0.2023,0.2636,0.0834,0.1393,0.0931,-0.001103,IDLE,"120,51,199,145",-0.0276,0.0000
120,4.004,mp,0.1541,Happiness,---,---,AMBIGUOUS,---,0.0112,0.2005,0.2576,0.0846,0.1885,0.0918,-0.001090,IDLE,"120,51,199,144",-0.0250,0.0001
121,4.037,mp,0.1585,Disgust,---,---,AMBIGUOUS,---,0.0165,0.2076,0.2200,0.0849,0.1237,0.0906,-0.001046,IDLE,"120,51,199,144",-0.0218,0.0001
122,4.071,mp,0.1648,Disgust,---,---,AMBIGUOUS,---,0.0156,0.2171,0.2176,0.0863,0.0364,0.0894,-0.001000,IDLE,"120,51,199,144",-0.0199,0.0002
123,4.104,mp,0.1579,Disgust,---,---,AMBIGUOUS,---,0.0164,0.2059,0.2167,0.0859,0.0037,0.0878,-0.000967,IDLE,"120,51,199,144",-0.0201,0.0001
124,4.137,mp,0.1506,Disgust,---,---,AMBIGUOUS,---,0.0161,0.1928,0.2109,0.0872,0.0646,0.0862,-0.001025,IDLE,"120,51,199,144",-0.0218,0.0002
125,4.171,mp,0.1339,Neutral,---,---,AMBIGUOUS,---,0.0314,0.1657,0.2358,0.0861,0.0672,0.0849,-0.001059,IDLE,"119,51,198,143",-0.0209,0.0001
126,4.204,mp,0.1375,Disgust,---,---,AMBIGUOUS,---,0.0282,0.1697,0.2838,0.0892,0.0526,0.0837,-0.001091,IDLE,"119,52,198,143",-0.0196,0.0001
127,4.238,mp,0.1348,Disgust,---,---,AMBIGUOUS,---,0.0253,0.1639,0.2924,0.0910,0.0138,0.0827,-0.001128,IDLE,"119,52,198,143",-0.0211,0.0001
128,4.271,haar,0.0525,Neutral,---,---,AMBIGUOUS,---,0.0824,0.0245,0.3590,0.0945,0.1793,0.0825,-0.001055,IDLE,"119,52,198,143",-0.0241,0.0000
129,4.304,haar,0.0514,Neutral,---,---,AMBIGUOUS,---,0.0757,0.0216,0.3640,0.0962,0.0314,0.0822,-0.000967,IDLE,"119,52,198,143",-0.0248,0.0000
130,4.338,mp,0.0488,Neutral,---,---,AMBIGUOUS,---,0.0263,0.0163,0.3929,0.0976,0.0180,0.0811,-0.000947,IDLE,"119,52,198,143",-0.0272,0.0000
131,4.371,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0134,-0.1259,0.5525,0.0972,0.0685,0.0794,-0.001003,IDLE,"120,52,198,143",-0.0288,0.0000
132,4.404,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0112,-0.1695,0.5879,0.0975,0.1096,0.0776,-0.001017,IDLE,"120,52,198,143",-0.0303,0.0000
133,4.438,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0106,-0.1879,0.6088,0.0982,0.2493,0.0768,-0.000940,IDLE,"120,52,198,143",-0.0301,0.0000
