frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
21,0.701,haar,0.0000,Neutral,---,---,,---,0.0550,0.0157,0.3885,0.0000,0.0000,0.0094,0.0330,0.0857,0.0306,0.0094,0.0275,0.0313,0.0550,0.0000,0.0550,0.0000,0.0237,0.0157,0.001569,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0522,0.0204,0.0122,0.0550,0.0692,0.3885,0.0840,0.3186,0,1,27.0,37.8,425.2
22,0.734,haar,0.0895,Surprise,---,---,AMBIGUOUS,---,0.0472,0.0715,0.4015,0.1167,0.0000,0.0895,0.0750,0.1458,0.0729,0.0895,0.0586,0.0716,0.0472,0.1167,0.1167,0.0742,0.0204,0.0216,0.002160,IDLE,0,-0.0993,0.0053,0.1290,0.0721,0.0226,0.0095,0.0080,0.2127,0.2874,0.1110,0.0033,0.0029,0.0025,0.0053,0.0006,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0446,0.0275,0.0107,0.0472,0.0820,0.3208,0.0657,0.4015,1,1,29.0,37.8,425.2
23,0.767,haar,0.0465,Surprise,CONC,---,AMBIGUOUS,---,0.0671,0.0593,0.3940,0.0273,0.2270,0.0465,0.0512,0.1166,0.0536,0.0465,0.0463,0.0489,0.0671,0.0273,0.0671,0.0428,0.0403,0.0257,0.002573,IDLE,0,-0.1845,0.0001,0.3227,0.0462,0.0036,0.0016,0.0156,0.1411,0.2624,0.0088,0.0020,0.0001,0.0001,0.0001,0.0000,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.2270,0.0000,0.1941,0.0000,0.0000,0.0000,0.0447,0.0221,0.0134,0.0671,0.0565,0.3196,0.0826,0.3940,1,1,29.2,37.8,425.2
24,0.801,haar,0.0646,Neutral,---,---,AMBIGUOUS,---,0.0947,0.0402,0.3454,0.1013,0.2390,0.0646,0.0973,0.1441,0.0858,0.0646,0.0825,0.0918,0.0947,0.1013,0.1013,0.0979,0.0605,0.0307,0.003066,IDLE,1,-0.1343,0.0000,0.1650,0.1036,0.0115,0.0029,0.0024,0.2602,0.2919,0.0097,0.0084,0.0000,0.0001,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.2390,0.0000,0.0243,0.1897,2.2173,0.0569,0.0206,0.0160,0.0947,0.0392,0.3454,0.0986,0.3286,1,1,32.4,37.8,425.2
25,0.834,haar,0.1143,Surprise,---,---,AMBIGUOUS,---,0.1240,0.1257,0.4653,0.0971,0.0535,0.1143,0.1132,0.1815,0.1163,0.1143,0.0922,0.1101,0.1240,0.0971,0.1240,0.1097,0.1071,0.0367,0.003670,IDLE,0,-0.1021,0.0001,0.1033,0.1007,0.0109,0.0027,0.0012,0.2898,0.2995,0.0114,0.0084,0.0001,0.0001,0.0001,0.0000,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0535,0.0019,0.0000,0.0281,0.0136,0.0044,0.1240,0.0448,0.2411,0.0787,0.4653,1,1,33.9,37.8,425.2
26,0.868,mp,0.0293,Neutral,---,---,AMBIGUOUS,---,0.0154,-0.0206,0.4202,0.1040,0.4166,0.0293,0.0509,0.0864,0.0348,0.0000,0.0472,0.0473,0.0154,0.1040,0.1040,0.0400,0.0000,0.0386,0.003138,IDLE,1,-0.1011,0.0001,0.0928,0.1093,0.0084,0.0027,0.0012,0.3211,0.3075,0.0140,0.0137,0.0001,0.0001,0.0001,0.0000,0.0230,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.4166,0.0764,0.1586,0.2063,0.0690,0.0360,0.0239,0.0154,0.1800,0.4202,0.0624,0.1930,1,1,27.1,37.8,425.2
27,0.901,mp,0.0127,Neutral,---,---,AMBIGUOUS,---,0.0151,-0.0480,0.4377,0.1038,0.1328,0.0127,0.0506,0.0810,0.0291,0.0000,0.0413,0.0474,0.0151,0.1038,0.1038,0.0395,0.0000,0.0402,0.002664,IDLE,1,-0.0981,0.0000,0.0898,0.1063,0.0081,0.0032,0.0012,0.3521,0.2871,0.0125,0.0111,0.0001,0.0001,0.0000,0.0000,0.0274,0.0000,0.0000,0.0000,0.0000,0.0128,0.0012,0.0000,0.1328,0.0000,0.0000,0.0000,0.0616,0.0384,0.0216,0.0151,0.1882,0.4377,0.0704,0.1671,1,1,25.6,37.8,425.2
28,0.934,mp,0.0307,Neutral,---,---,AMBIGUOUS,---,0.0192,-0.0259,0.3923,0.1157,0.2605,0.0307,0.0578,0.0913,0.0391,0.0000,0.0495,0.0539,0.0192,0.1157,0.1157,0.0472,0.0000,0.0420,0.002917,IDLE,1,-0.1246,0.0001,0.1022,0.1469,0.0055,0.0029,0.0009,0.3701,0.3132,0.0112,0.0142,0.0001,0.0001,0.0001,0.0000,0.0361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2605,0.0000,0.0956,0.3557,0.0675,0.0362,0.0270,0.0192,0.1981,0.3923,0.0729,0.1867,1,1,25.9,37.8,425.2
29,0.968,haar,0.0981,Surprise,---,---,AMBIGUOUS,---,0.0951,0.0856,0.3998,0.1169,0.0022,0.0981,0.1038,0.1647,0.0997,0.0981,0.0826,0.0987,0.0951,0.1169,0.1169,0.1054,0.0658,0.0462,0.003405,IDLE,0,-0.1312,0.0000,0.1089,0.1534,0.0046,0.0030,0.0009,0.3770,0.3111,0.0100,0.0136,0.0001,0.0001,0.0000,0.0000,0.0338,0.0000,0.0000,0.0000,0.0000,0.0022,0.0002,0.0000,0.0000,0.0000,0.0000,0.0356,0.0487,0.0127,0.0114,0.0951,0.0522,0.3028,0.0771,0.3998,1,1,25.5,37.8,425.2
30,1.001,mp,0.0432,Neutral,---,---,AMBIGUOUS,---,0.0203,-0.0055,0.3867,0.1163,0.0353,0.0432,0.0587,0.0940,0.0439,0.0000,0.0457,0.0544,0.0203,0.1163,0.1163,0.0486,0.0000,0.0478,0.003214,IDLE,1,-0.1258,0.0000,0.1097,0.1418,0.0047,0.0030,0.0010,0.3817,0.3136,0.0099,0.0129,0.0001,0.0001,0.0000,0.0000,0.0349,0.0000,0.0000,0.0000,0.0000,0.0004,0.0030,0.0036,0.0353,0.0000,0.0000,0.0000,0.0726,0.0350,0.0316,0.0203,0.1960,0.3867,0.0611,0.1967,1,1,27.3,37.8,425.2
31,1.034,mp,0.0501,Neutral,---,---,AMBIGUOUS,---,0.0202,0.0077,0.3860,0.1137,0.0600,0.0501,0.0576,0.0925,0.0458,0.0000,0.0454,0.0528,0.0202,0.1137,0.1137,0.0480,0.0000,0.0493,0.002766,IDLE,1,-0.1099,0.0000,0.0976,0.1222,0.0044,0.0029,0.0010,0.3863,0.3253,0.0081,0.0126,0.0001,0.0001,0.0000,0.0000,0.0369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0600,0.0000,0.0000,0.0000,0.0834,0.0273,0.0448,0.0202,0.1797,0.3860,0.0639,0.1946,1,1,27.9,37.8,425.2
32,1.068,mp,0.0507,Neutral,---,---,AMBIGUOUS,---,0.0256,0.0101,0.3985,0.1117,0.0400,0.0507,0.0600,0.0978,0.0483,0.0000,0.0471,0.0552,0.0256,0.1117,0.1117,0.0535,0.0000,0.0508,0.002505,IDLE,1,-0.0989,0.0000,0.0825,0.1152,0.0049,0.0034,0.0011,0.3793,0.3393,0.0063,0.0129,0.0001,0.0001,0.0000,0.0000,0.0383,0.0000,0.0000,0.0000,0.0000,0.0143,0.0028,0.0148,0.0400,0.0000,0.0086,0.0000,0.0800,0.0260,0.0438,0.0256,0.1339,0.3985,0.0778,0.2146,1,1,26.4,37.8,425.2
33,1.101,mp,0.0540,Neutral,---,---,AMBIGUOUS,---,0.0255,0.0169,0.3957,0.1096,0.0202,0.0540,0.0592,0.0992,0.0490,0.0000,0.0461,0.0541,0.0255,0.1096,0.1096,0.0529,0.0000,0.0523,0.002159,IDLE,1,-0.0843,0.0000,0.0655,0.1030,0.0054,0.0036,0.0011,0.3919,0.3412,0.0055,0.0135,0.0001,0.0001,0.0000,0.0000,0.0369,0.0000,0.0000,0.0000,0.0000,0.0087,0.0001,0.0148,0.0000,0.0000,0.0202,0.0000,0.0865,0.0261,0.0440,0.0255,0.1257,0.3957,0.0707,0.2258,1,1,26.2,63.4,428.0
34,1.134,mp,0.0534,Neutral,---,---,AMBIGUOUS,---,0.0253,0.0165,0.4020,0.1088,0.0020,0.0534,0.0587,0.0969,0.0486,0.0000,0.0453,0.0534,0.0253,0.1088,0.1088,0.0524,0.0000,0.0536,0.001687,IDLE,1,-0.0814,0.0000,0.0627,0.1000,0.0054,0.0035,0.0012,0.3965,0.3371,0.0054,0.0128,0.0001,0.0001,0.0000,0.0000,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0015,0.0020,0.0000,0.0000,0.0000,0.0904,0.0267,0.0408,0.0253,0.1247,0.4020,0.0735,0.2166,1,1,25.3,63.4,428.0
35,1.168,mp,0.0738,Neutral,---,---,AMBIGUOUS,---,0.0305,0.0494,0.3464,0.1105,0.3608,0.0738,0.0625,0.1016,0.0583,0.0000,0.0556,0.0576,0.0305,0.1105,0.1105,0.0581,0.0000,0.0549,0.001633,IDLE,1,-0.0860,0.0000,0.0695,0.1024,0.0065,0.0035,0.0011,0.3944,0.3283,0.0072,0.0118,0.0001,0.0001,0.0000,0.0000,0.0490,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0321,0.3608,0.0539,0.0000,0.0514,0.0784,0.0203,0.0672,0.0305,0.1398,0.3464,0.0910,0.2263,1,1,25.8,63.4,428.0
