frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
62,2.069,mp,0.0590,Disgust,STRESS,---,,---,0.0214,0.0979,0.3772,0.3306,0.1739,0.0340,0.000441,IDLE,"113,64,198,173",-0.5028,0.0030
63,2.102,haar,0.0000,Sadness,STRESS,---,,---,0.0160,-0.1474,0.5287,0.3292,0.6425,0.0340,0.000441,IDLE,"113,64,198,173",-0.4523,0.0036
64,2.135,haar,0.0000,Sadness,STRESS,---,,---,0.0237,-0.1073,0.4347,0.3370,0.2257,0.0340,0.000441,IDLE,"113,64,198,173",-0.4637,0.0041
65,2.169,haar,0.0000,Sadness,STRESS,---,,---,0.0194,-0.1299,0.4839,0.3473,0.1134,0.0340,0.000441,IDLE,"113,64,198,173",-0.4920,0.0041
66,2.202,haar,0.0000,Sadness,STRESS,---,,---,0.0141,-0.1304,0.5201,0.3577,0.4198,0.0340,0.000441,IDLE,"113,64,198,173",-0.5181,0.0047
67,2.236,haar,0.0000,Sadness,STRESS,---,,---,0.0132,-0.1302,0.5303,0.3623,0.0000,0.0340,0.000425,IDLE,"113,64,198,173",-0.5462,0.0045
68,2.269,haar,0.0000,Sadness,STRESS,---,,---,0.0162,-0.1387,0.5052,0.3705,0.7838,0.0340,0.000327,IDLE,"113,64,198,173",-0.5521,0.0071
69,2.302,haar,0.0000,Sadness,STRESS,---,,---,0.0125,-0.2582,0.7353,0.3742,0.2131,0.0340,0.000226,IDLE,"113,63,198,173",-0.5596,0.0108
70,2.336,haar,0.0000,Sadness,STRESS,---,,---,0.0158,-0.2999,0.7658,0.3831,0.6488,0.0340,0.000118,IDLE,"113,63,198,173",-0.5802,0.0189
71,2.369,mp,0.0187,Sadness,STRESS,---,,---,0.0517,-0.0758,0.4437,0.3891,1.4335,0.0343,0.000037,IDLE,"113,63,199,173",-0.5406,0.0353
72,2.402,mp,0.0871,Sadness,STRESS,---,,---,0.0936,-0.0064,0.4088,0.3697,0.2248,0.0361,0.000212,IDLE,"112,62,199,173",-0.4742,0.0516
73,2.436,mp,0.1274,Sadness,STRESS,---,,---,0.1101,0.0631,0.3703,0.3272,0.0032,0.0386,0.000466,IDLE,"112,62,199,173",-0.4102,0.0864
74,2.469,haar,0.0355,Sadness,STRESS,---,,---,0.0773,-0.0896,0.6092,0.3039,0.3716,0.0393,0.000537,IDLE,"112,62,198,175",-0.3385,0.1158
75,2.502,haar,0.2774,Sadness,STRESS,---,,---,0.3152,-0.0169,0.4143,0.2866,0.0000,0.0449,0.001092,IDLE,"112,63,199,175",-0.3370,0.1098
76,2.536,haar,0.1689,Sadness,STRESS,---,,---,0.2099,-0.0345,0.5067,0.2369,0.2571,0.0483,0.001430,IDLE,"112,65,199,176",-0.2158,0.2089
77,2.569,haar,0.0239,Sadness,STRESS,STARTLE,,---,0.0776,-0.1197,0.6195,0.2962,3.1212,0.0487,0.001478,IDLE,"112,67,200,177",-0.3289,0.1297
78,2.603,haar,0.0749,Sadness,STRESS,---,,---,0.1251,-0.1062,0.5665,0.3442,2.4921,0.0502,0.001628,IDLE,"112,68,201,177",-0.3964,0.0921
