frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
21,0.700,haar,0.2216,Anger,---,---,AMBIGUOUS,---,0.0006,0.2849,0.7098,0.1266,0.0105,0.2216,0.0510,0.0510,0.0952,0.0000,0.0385,0.0148,0.0523,-0.000121,IDLE,0,-0.0990,0.0000,0.0750,0.1213,0.0009,0.0058,0.0052,0.5038,0.3673,0.0159,0.0080,0.0007,0.0011,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0056,0.0000,0.0014,0.0016,0.0105,0.0000,0.0173,0.7098,0.0021,0.0004,0.0006,0.0000,0.0621,0.2245,0.0005,1,1,18.4,22.5,338.1
22,0.733,haar,0.2571,Anger,---,---,AMBIGUOUS,---,0.0010,0.3457,0.7598,0.1242,0.0040,0.2571,0.0503,0.0502,0.1069,0.0000,0.0378,0.0121,0.0522,-0.000103,IDLE,0,-0.1028,0.0000,0.0793,0.1246,0.0010,0.0056,0.0053,0.4993,0.3415,0.0159,0.0076,0.0007,0.0010,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,0.0040,0.0003,0.0000,0.0000,0.0000,0.7598,0.0017,0.0005,0.0010,0.0000,0.0502,0.1860,0.0008,1,1,25.1,22.5,338.1
23,0.767,haar,0.2519,Anger,---,---,AMBIGUOUS,---,0.0009,0.3373,0.7598,0.1238,0.0756,0.2519,0.0500,0.0500,0.1050,0.0000,0.0391,0.0120,0.0521,-0.000099,IDLE,0,-0.0958,0.0000,0.0739,0.1159,0.0010,0.0057,0.0051,0.4992,0.3486,0.0184,0.0072,0.0007,0.0011,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000,0.0013,0.0120,0.0756,0.0000,0.0000,0.7598,0.0015,0.0005,0.0009,0.0000,0.0410,0.1959,0.0005,1,1,20.6,64.6,343.1
24,0.800,haar,0.2519,Anger,---,---,AMBIGUOUS,---,0.0009,0.3373,0.7598,0.1239,0.0226,0.2519,0.0501,0.0500,0.1050,0.0000,0.0380,0.0120,0.0520,-0.000102,IDLE,0,-0.0962,0.0000,0.0729,0.1174,0.0010,0.0055,0.0048,0.4978,0.3483,0.0191,0.0077,0.0009,0.0013,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0226,0.0165,0.0032,0.7598,0.0015,0.0005,0.0009,0.0000,0.0410,0.1959,0.0005,1,1,19.3,64.6,343.1
25,0.833,haar,0.3283,Anger,---,---,AMBIGUOUS,---,0.0002,0.4637,0.8710,0.1252,0.0422,0.3283,0.0502,0.0503,0.1304,0.0000,0.0385,0.0065,0.0519,-0.000101,IDLE,0,-0.1040,0.0000,0.0802,0.1252,0.0009,0.0050,0.0047,0.4988,0.3436,0.0180,0.0091,0.0010,0.0015,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0422,0.0404,0.8710,0.0029,0.0004,0.0002,0.0000,0.0474,0.0776,0.0004,1,1,19.7,64.6,343.1
26,0.867,haar,0.3368,Anger,---,---,AMBIGUOUS,---,0.0003,0.4744,0.8682,0.1305,0.0336,0.3368,0.0524,0.0524,0.1342,0.0000,0.0400,0.0069,0.0519,-0.000081,IDLE,0,-0.1136,0.0000,0.0917,0.1326,0.0007,0.0048,0.0040,0.5173,0.3571,0.0157,0.0103,0.0012,0.0017,0.0000,0.0000,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0268,0.0000,0.0336,0.1570,0.8682,0.0030,0.0004,0.0003,0.0000,0.0456,0.0820,0.0005,1,1,20.1,64.6,343.1
27,0.900,haar,0.3380,Anger,---,---,AMBIGUOUS,---,0.0003,0.4744,0.8682,0.1335,0.0159,0.3380,0.0536,0.0536,0.1351,0.0000,0.0405,0.0071,0.0520,-0.000056,IDLE,0,-0.1177,0.0000,0.0944,0.1384,0.0006,0.0053,0.0041,0.5309,0.3627,0.0151,0.0099,0.0011,0.0015,0.0000,0.0000,0.0092,0.0000,0.0000,0.0000,0.0000,0.0159,0.0037,0.0000,0.0097,0.0000,0.0000,0.0898,0.8682,0.0030,0.0004,0.0003,0.0000,0.0456,0.0820,0.0005,1,1,19.6,64.6,343.1
28,0.933,haar,0.3385,Anger,---,---,AMBIGUOUS,---,0.0003,0.4763,0.8818,0.1319,0.0126,0.3385,0.0529,0.0529,0.1350,0.0000,0.0399,0.0063,0.0520,-0.000038,IDLE,0,-0.1156,0.0000,0.0919,0.1373,0.0005,0.0052,0.0045,0.5265,0.3582,0.0144,0.0099,0.0008,0.0012,0.0000,0.0000,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,0.0000,0.0000,0.0000,0.0003,0.0000,0.8818,0.0040,0.0005,0.0003,0.0000,0.0493,0.0637,0.0004,1,1,22.2,64.6,343.1
29,0.967,haar,0.3006,Anger,---,---,AMBIGUOUS,---,0.0004,0.4117,0.8483,0.1340,0.0117,0.3006,0.0538,0.0539,0.1227,0.0000,0.0406,0.0082,0.0521,-0.000024,IDLE,0,-0.1203,0.0000,0.0906,0.1481,0.0006,0.0056,0.0040,0.5414,0.3556,0.0137,0.0094,0.0008,0.0011,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0115,0.0000,0.0006,0.0117,0.0000,0.0000,0.0648,0.8483,0.0054,0.0008,0.0004,0.0000,0.0713,0.0730,0.0007,1,1,19.2,64.6,343.1
30,1.000,haar,0.3005,Anger,---,---,AMBIGUOUS,---,0.0004,0.4117,0.8483,0.1338,0.0215,0.3005,0.0537,0.0538,0.1227,0.0000,0.0408,0.0082,0.0522,-0.000011,IDLE,0,-0.1197,0.0000,0.0910,0.1461,0.0006,0.0057,0.0040,0.5463,0.3468,0.0142,0.0101,0.0010,0.0013,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,0.0000,0.0024,0.0021,0.0000,0.0000,0.0158,0.0215,0.0000,0.8483,0.0054,0.0008,0.0004,0.0000,0.0713,0.0730,0.0007,1,1,18.2,64.6,343.1
