window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
17,72.94,91.44,109.93,GREEN,50.3,51.5,1,6.27,161.35,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
18,79.1,97.6,116.1,GREEN,50.1,51.5,1,7.36,203.86,0.016,739,0.0,0,2026-05-02T17:05:46.502591+00:00
19,85.27,103.77,122.26,GREEN,107.6,57.2,1,1.54,86.34,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
20,91.44,109.93,128.43,GREEN,57.2,98.6,1,1.49,84.62,0.083,739,0.0,0,2026-05-02T17:05:46.502591+00:00
21,97.6,116.1,134.6,GREEN,98.6,98.6,1,1.84,112.04,0.073,739,0.0,0,2026-05-02T17:05:46.502591+00:00
0,0.61,13.34,25.62,ICA,94.6,94.6,1,3.54,29.21,0.026,739,0.0,0,2026-05-02T17:05:46.502591+00:00
1,5.16,17.44,29.71,ICA,98.0,94.6,1,2.48,14.32,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
2,9.26,21.53,33.8,ICA,68.1,98.0,1,2.24,12.3,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
3,13.34,25.62,37.89,ICA,100.9,100.9,1,2.31,11.24,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
4,17.44,29.71,41.98,ICA,107.8,100.9,1,2.78,15.37,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
5,21.53,33.8,46.07,ICA,108.1,100.9,1,2.43,14.25,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
6,25.62,37.89,50.16,ICA,96.1,96.1,1,2.62,14.15,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
7,29.71,41.98,54.25,ICA,79.7,79.8,1,2.25,17.68,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
8,33.8,46.07,58.34,ICA,79.8,79.7,1,2.77,22.61,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
9,37.89,50.16,62.43,ICA,50.6,77.7,1,2.89,21.57,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
10,41.98,54.25,66.77,ICA,50.2,77.7,1,3.82,28.46,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
11,46.07,58.34,72.94,ICA,77.7,50.6,1,3.31,22.46,0.001,739,0.0,0,2026-05-02T17:05:46.502591+00:00
12,50.16,62.43,79.1,ICA,81.9,60.1,1,3.5,26.66,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
13,54.25,66.77,85.27,ICA,49.9,60.1,1,3.65,19.49,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
14,58.34,72.94,91.44,ICA,60.1,60.1,1,3.23,16.3,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
15,62.43,79.1,97.6,ICA,60.1,51.7,1,3.46,18.08,0.012,739,0.0,0,2026-05-02T17:05:46.502591+00:00
16,66.77,85.27,103.77,ICA,51.7,51.7,1,3.4,14.52,0.019,739,0.0,0,2026-05-02T17:05:46.502591+00:00
17,72.94,91.44,109.93,ICA,50.2,51.7,1,3.41,17.3,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
18,79.1,97.6,116.1,ICA,49.9,51.7,1,3.29,18.6,0.016,739,0.0,0,2026-05-02T17:05:46.502591+00:00
19,85.27,103.77,122.26,ICA,67.8,66.9,1,1.91,27.25,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
20,91.44,109.93,128.43,ICA,67.4,66.9,1,1.89,28.14,0.083,739,0.0,0,2026-05-02T17:05:46.502591+00:00
21,97.6,116.1,134.6,ICA,66.9,66.9,1,1.79,24.04,0.073,739,0.0,0,2026-05-02T17:05:46.502591+00:00
0,0.61,13.34,25.62,WAVELET,46.2,46.2,1,3.86,1062.78,0.026,739,0.0,0,2026-05-02T17:05:46.502591+00:00
1,5.16,17.44,29.71,WAVELET,60.1,60.1,1,3.53,104.03,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
2,9.26,21.53,33.8,WAVELET,61.4,61.4,1,3.71,84.27,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
3,13.34,25.62,37.89,WAVELET,61.7,61.4,1,3.99,94.49,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
4,17.44,29.71,41.98,WAVELET,73.9,61.4,1,3.46,91.11,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
5,21.53,33.8,46.07,WAVELET,52.2,61.7,1,2.81,163.07,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
6,25.62,37.89,50.16,WAVELET,42.0,72.0,1,3.74,272.58,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
7,29.71,41.98,54.25,WAVELET,72.0,72.0,1,3.72,482.2,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
8,33.8,46.07,58.34,WAVELET,80.1,80.0,1,3.75,507.09,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
9,37.89,50.16,62.43,WAVELET,80.1,80.0,1,3.7,551.0,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
10,41.98,54.25,66.77,WAVELET,80.0,80.0,1,3.73,575.2,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
11,46.07,58.34,72.94,WAVELET,62.3,75.7,1,3.86,469.24,0.001,739,0.0,0,2026-05-02T17:05:46.502591+00:00
12,50.16,62.43,79.1,WAVELET,75.7,62.3,1,4.33,508.89,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
13,54.25,66.77,85.27,WAVELET,60.6,60.6,1,3.7,195.83,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
14,58.34,72.94,91.44,WAVELET,56.1,56.1,1,3.95,234.78,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
15,62.43,79.1,97.6,WAVELET,48.0,50.9,1,4.12,353.83,0.012,739,0.0,0,2026-05-02T17:05:46.502591+00:00
16,66.77,85.27,103.77,WAVELET,50.9,50.0,1,5.05,356.47,0.019,739,0.0,0,2026-05-02T17:05:46.502591+00:00
17,72.94,91.44,109.93,WAVELET,50.0,50.0,1,6.85,549.9,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
18,79.1,97.6,116.1,WAVELET,50.0,50.9,1,5.81,554.98,0.016,739,0.0,0,2026-05-02T17:05:46.502591+00:00
19,85.27,103.77,122.26,WAVELET,91.2,50.0,1,2.19,411.03,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
20,91.44,109.93,128.43,WAVELET,83.5,50.0,1,2.33,481.34,0.083,739,0.0,0,2026-05-02T17:05:46.502591+00:00
21,97.6,116.1,134.6,WAVELET,47.1,47.1,1,2.37,433.2,0.073,739,0.0,0,2026-05-02T17:05:46.502591+00:00
0,0.61,13.34,25.62,CONSENSUS,59.3,59.3,1,4.34,0.0,0.026,739,52.6,5,2026-05-02T17:05:46.502591+00:00
1,5.16,17.44,29.71,CONSENSUS,65.3,65.3,1,4.37,0.0,0.0,739,38.5,5,2026-05-02T17:05:46.502591+00:00
2,9.26,21.53,33.8,CONSENSUS,65.3,65.3,1,4.44,0.0,0.0,739,41.9,5,2026-05-02T17:05:46.502591+00:00
3,13.34,25.62,37.89,CONSENSUS,65.0,65.0,1,4.23,0.0,0.0,739,48.8,5,2026-05-02T17:05:46.502591+00:00
4,17.44,29.71,41.98,CONSENSUS,66.9,66.9,1,4.08,0.0,0.0,739,48.8,5,2026-05-02T17:05:46.502591+00:00
5,21.53,33.8,46.07,CONSENSUS,65.5,65.5,1,4.33,0.0,0.0,739,48.8,5,2026-05-02T17:05:46.502591+00:00
6,25.62,37.89,50.16,CONSENSUS,66.0,66.0,1,4.13,0.0,0.0,739,44.0,5,2026-05-02T17:05:46.502591+00:00
7,29.71,41.98,54.25,CONSENSUS,68.5,68.5,1,4.08,0.0,0.0,739,22.1,5,2026-05-02T17:05:46.502591+00:00
8,33.8,46.07,58.34,CONSENSUS,67.5,67.5,1,4.17,0.0,0.0,739,29.7,5,2026-05-02T17:05:46.502591+00:00
9,37.89,50.16,62.43,CONSENSUS,66.5,66.5,1,4.25,0.0,0.0,739,29.8,5,2026-05-02T17:05:46.502591+00:00
10,41.98,54.25,66.77,CONSENSUS,67.0,67.0,1,4.69,0.0,0.0,739,29.8,5,2026-05-02T17:05:46.502591+00:00
11,46.07,58.34,72.94,CONSENSUS,61.4,61.4,1,4.77,0.0,0.001,739,26.0,5,2026-05-02T17:05:46.502591+00:00
12,50.16,62.43,79.1,CONSENSUS,61.2,61.2,1,4.29,0.0,0.003,739,26.0,5,2026-05-02T17:05:46.502591+00:00
13,54.25,66.77,85.27,CONSENSUS,57.8,57.8,1,4.3,0.0,0.003,739,16.0,5,2026-05-02T17:05:46.502591+00:00
14,58.34,72.94,91.44,CONSENSUS,57.2,57.2,1,4.28,0.0,0.003,739,16.0,5,2026-05-02T17:05:46.502591+00:00
15,62.43,79.1,97.6,CONSENSUS,56.3,56.3,1,5.51,0.0,0.012,739,17.2,5,2026-05-02T17:05:46.502591+00:00
16,66.77,85.27,103.77,CONSENSUS,56.6,56.6,1,5.11,0.0,0.019,739,24.0,5,2026-05-02T17:05:46.502591+00:00
17,72.94,91.44,109.93,CONSENSUS,55.9,55.9,1,5.35,0.0,0.018,739,24.0,5,2026-05-02T17:05:46.502591+00:00
18,79.1,97.6,116.1,CONSENSUS,56.1,56.1,1,5.48,0.0,0.016,739,23.1,5,2026-05-02T17:05:46.502591+00:00
19,85.27,103.77,122.26,CONSENSUS,61.9,61.9,1,4.17,0.0,0.018,739,20.7,3,2026-05-02T17:05:46.502591+00:00
20,91.44,109.93,128.43,CONSENSUS,64.2,64.2,1,3.99,0.0,0.083,739,20.1,3,2026-05-02T17:05:46.502591+00:00
21,97.6,116.1,134.6,CONSENSUS,63.3,63.3,1,3.86,0.0,0.073,739,23.0,3,2026-05-02T17:05:46.502591+00:00
