window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
2,10.88,25.84,40.81,POS,63.9,67.6,1,3.45,0.6,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
3,15.87,30.83,45.79,POS,63.6,67.6,1,3.45,0.55,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
4,20.85,35.82,50.78,POS,67.6,67.6,1,3.63,0.67,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
5,25.84,40.81,55.77,POS,91.7,91.6,1,4.07,0.49,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
6,30.83,45.79,60.76,POS,91.6,91.7,1,2.99,0.35,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
7,35.82,50.78,65.75,POS,92.7,92.6,1,3.13,0.42,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
8,40.81,55.77,70.73,POS,92.6,92.7,1,3.3,0.4,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
9,45.79,60.76,75.72,POS,97.9,97.9,1,3.39,0.47,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
10,50.78,65.75,80.71,POS,98.0,98.0,1,4.29,0.59,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
11,55.77,70.73,85.7,POS,98.0,98.0,1,4.11,0.61,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
12,60.76,75.72,90.69,POS,98.0,98.0,1,4.09,0.66,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
13,65.75,80.71,95.68,POS,105.6,98.0,1,3.46,0.49,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
14,70.73,85.7,100.67,POS,105.7,98.0,1,3.11,0.43,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
15,75.72,90.69,105.65,POS,50.3,50.6,1,3.89,0.63,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
16,80.71,95.68,110.64,POS,50.6,50.6,1,3.52,0.5,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
17,85.7,100.67,115.63,POS,50.3,50.6,1,3.79,0.53,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
18,90.69,105.65,120.62,POS,106.1,67.9,1,3.29,0.57,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
19,95.68,110.64,125.61,POS,67.9,95.9,1,2.7,0.44,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
20,100.67,115.63,130.6,POS,101.8,95.9,1,2.41,0.41,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
21,105.65,120.62,135.58,POS,95.9,77.9,1,2.49,0.42,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
22,110.64,125.61,140.57,POS,77.9,77.9,1,2.36,0.36,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
23,115.63,130.6,145.56,POS,68.6,77.9,1,3.72,1.16,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
24,120.62,135.58,150.55,POS,46.1,77.9,1,3.64,1.17,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
25,125.61,140.57,155.54,POS,108.3,108.3,1,3.17,1.2,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
26,130.6,145.56,160.52,POS,109.2,109.2,1,3.55,2.14,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
27,135.58,150.55,165.51,POS,113.5,110.2,1,3.06,1.81,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
28,140.57,155.54,170.5,POS,110.2,110.2,1,4.29,2.7,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
29,145.56,160.52,175.49,POS,111.4,110.2,1,2.77,2.12,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
