# session_start_utc=2026-05-02T13:24:48.337726+00:00
frame_idx,timestamp,r,g,b,face_detected,bbox
301,10.6786,86.872,53.25,49.465,1,"284,161,437,262"
302,10.7106,88.154,53.531,50.056,1,"287,164,434,262"
303,10.7427,87.78,53.542,49.727,1,"287,164,434,262"
304,10.7786,88.216,53.509,50.12,1,"285,164,432,262"
305,10.8107,87.441,53.092,49.372,1,"285,166,429,262"
306,10.8426,87.692,53.258,49.875,1,"281,165,429,263"
307,10.8788,87.255,53.364,49.662,1,"278,165,428,264"
308,10.9108,88.012,53.671,50.173,1,"273,162,425,264"
309,10.9426,87.029,53.107,49.383,1,"273,166,418,263"
310,10.9786,88.208,53.777,50.387,1,"266,163,420,266"
311,11.0108,87.618,53.598,49.955,1,"264,163,418,266"
312,11.0427,86.828,52.817,49.456,1,"264,168,408,264"
313,11.0787,86.73,52.912,49.311,1,"261,166,405,262"
314,11.1108,86.968,52.83,49.604,1,"259,168,403,264"
315,11.1427,87.479,53.364,49.871,1,"253,164,400,263"
316,11.1747,87.614,53.332,50.178,1,"252,164,399,263"
317,11.2107,86.924,53.044,49.543,1,"249,163,397,261"
318,11.2426,87.267,52.868,49.813,1,"251,165,395,261"
319,11.2748,86.599,52.782,49.241,1,"251,169,395,265"
320,11.3107,86.962,52.855,49.693,1,"253,167,397,263"
321,11.3427,86.684,52.743,49.471,1,"251,167,395,263"
322,11.3747,87.371,52.934,50.027,1,"250,164,397,262"
323,11.4107,86.778,52.916,49.586,1,"250,166,396,263"
324,11.4427,86.78,52.914,49.481,1,"251,166,397,263"
325,11.4747,86.597,52.821,49.353,1,"251,167,397,264"
326,11.5107,87.353,53.245,50.015,1,"250,166,397,265"
327,11.5427,86.629,52.807,49.662,1,"250,166,396,263"
328,11.5748,86.923,52.873,49.88,1,"250,169,398,267"
329,11.611,86.575,53.023,49.486,1,"251,168,398,266"
330,11.6426,87.053,53.056,49.921,1,"249,167,399,266"
331,11.6749,86.268,52.661,49.241,1,"252,169,396,265"
332,11.7107,87.309,53.153,49.846,1,"252,167,399,266"
333,11.7428,85.993,52.559,48.951,1,"257,170,401,266"
334,11.7748,86.94,52.841,49.879,1,"254,167,403,266"
335,11.8068,86.902,53.105,49.501,1,"254,165,404,266"
336,11.8426,85.181,51.847,48.947,1,"260,172,401,265"
337,11.8748,85.711,52.485,48.902,1,"259,170,401,265"
338,11.9066,85.923,52.48,49.224,1,"258,171,402,267"
339,11.9427,85.725,52.393,48.7,1,"259,171,403,267"
340,11.9746,86.448,52.81,49.247,1,"257,170,402,267"
341,12.0067,86.189,52.597,49.096,1,"258,168,405,266"
342,12.0428,86.429,52.432,49.367,1,"257,168,405,266"
343,12.0749,86.226,52.512,49.072,1,"257,169,404,267"
344,12.1067,86.456,52.655,49.374,1,"258,167,405,265"
345,12.1427,86.121,52.67,49.057,1,"257,167,404,265"
346,12.1747,86.129,52.391,49.226,1,"260,169,404,265"
347,12.2067,85.964,52.283,49.08,1,"260,170,404,266"
348,12.2427,85.485,52.059,49.112,1,"260,170,403,265"
349,12.2748,85.5,52.419,49.188,1,"258,169,404,266"
350,12.3068,85.683,52.262,49.391,1,"260,169,404,265"
351,12.3387,86.01,52.673,49.338,1,"258,168,408,268"
352,12.3747,86.195,52.743,49.767,1,"257,168,410,270"
353,12.4067,85.344,52.465,49.062,1,"260,168,410,268"
354,12.4387,85.701,52.329,49.116,1,"260,171,405,268"
355,12.4747,85.551,52.192,48.903,1,"261,170,406,267"
356,12.5067,85.935,52.491,49.532,1,"259,167,409,267"
357,12.5387,85.381,51.988,48.691,1,"263,169,405,264"
358,12.5747,84.833,51.678,48.518,1,"268,171,406,264"
359,12.6067,84.833,51.818,48.202,1,"267,171,407,265"
360,12.6387,83.604,50.954,47.735,1,"269,174,405,264"
361,12.6748,85.499,52.314,48.664,1,"262,168,409,266"
362,12.7068,85.656,52.197,48.852,1,"265,172,411,269"
363,12.7387,85.537,52.426,48.618,1,"266,169,413,268"
364,12.7749,85.715,52.077,48.922,1,"267,173,413,270"
365,12.8067,85.32,51.873,48.685,1,"268,174,414,271"
366,12.8388,86.297,52.343,49.347,1,"267,173,414,272"
367,12.8708,85.849,52.329,48.754,1,"268,173,415,272"
368,12.9067,86.213,52.337,49.21,1,"268,173,418,273"
369,12.9388,85.714,52.401,48.783,1,"266,171,419,272"
370,12.9708,86.052,52.323,48.939,1,"268,173,417,272"
371,13.0067,86.257,52.741,48.912,1,"266,171,417,272"
372,13.0388,85.705,52.605,49.375,1,"266,171,416,271"
373,13.0707,85.156,52.386,48.993,1,"266,170,419,271"
374,13.1066,85.668,52.431,49.356,1,"268,170,419,271"
375,13.1387,85.502,52.239,48.924,1,"269,171,419,272"
376,13.1707,85.297,52.036,49.018,1,"267,168,421,271"
377,13.2069,84.849,51.921,48.474,1,"266,167,420,270"
378,13.2387,84.973,51.77,48.596,1,"269,172,418,271"
379,13.2707,84.905,51.616,48.41,1,"272,175,416,271"
380,13.3069,85.361,51.644,48.681,1,"271,176,415,272"
381,13.3387,85.246,51.693,48.432,1,"269,175,417,273"
382,13.3707,85.031,51.455,48.44,1,"270,175,417,273"
383,13.4068,84.457,51.381,47.878,1,"272,174,419,272"
384,13.4388,84.275,50.979,48.064,1,"273,176,417,272"
385,13.4708,83.115,50.219,47.199,1,"274,178,415,271"
386,13.5027,83.812,50.551,47.652,1,"275,176,416,270"
387,13.5389,82.566,49.799,46.88,1,"278,180,413,271"
388,13.5707,83.996,50.478,47.569,1,"275,177,415,271"
389,13.6027,83.395,50.154,47.302,1,"276,179,414,272"
390,13.6387,84.378,51.006,48.199,1,"273,175,418,272"
391,13.6709,84.027,51.247,48.04,1,"272,172,422,272"
392,13.7028,84.73,51.31,48.162,1,"272,174,419,273"
393,13.7387,83.976,51.086,47.79,1,"271,174,419,272"
394,13.7707,84.995,51.646,48.462,1,"270,173,423,275"
395,13.8027,83.328,50.651,47.182,1,"276,177,418,272"
396,13.8387,85.007,51.538,48.346,1,"268,173,421,275"
397,13.8707,83.531,50.633,47.284,1,"274,177,418,273"
398,13.9027,83.239,50.284,47.468,1,"276,177,417,271"
399,13.939,83.274,50.317,47.164,1,"274,178,416,273"
400,13.9708,83.178,50.316,47.473,1,"275,178,415,272"
401,14.0027,83.385,50.658,47.696,1,"272,175,418,272"
