frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
52,1.733,haar,0.1962,Fear,JOY,---,AMBIGUOUS,---,0.2275,0.3269,0.2275,0.0000,0.0604,0.1179,0.000889,IDLE,"116,77,210,203",0.0126,0.5220
53,1.767,haar,0.4506,Surprise,JOY,STARTLE,AMBIGUOUS,---,0.3207,0.7509,0.3481,0.0000,6.2746,0.1198,0.001004,IDLE,"116,77,210,205",0.4230,0.8025
54,1.800,haar,0.4725,Surprise,JOY,---,AMBIGUOUS,---,0.2915,0.7874,0.3944,0.0000,1.2395,0.1215,0.001068,IDLE,"116,77,210,206",0.5068,0.8467
55,1.833,haar,0.3367,Anger,JOY,---,VETO,MP:JOY/HS:Anger,0.2631,0.5612,0.3458,0.0000,0.0000,0.1234,0.001139,IDLE,"116,77,210,205",0.4827,0.8365
56,1.867,haar,0.2445,Anger,JOY,---,AMBIGUOUS,---,0.0736,0.4075,0.3538,0.0000,0.0000,0.1234,0.000987,IDLE,"115,78,209,201",0.4345,0.6948
57,1.900,haar,0.1756,Disgust,JOY,---,AMBIGUOUS,---,0.0430,0.2927,0.4596,0.0000,0.3491,0.1230,0.000870,IDLE,"115,79,209,199",0.2056,0.4269
58,1.933,haar,0.1555,Disgust,JOY,---,AMBIGUOUS,---,0.0363,0.2591,0.3881,0.0000,0.0075,0.1224,0.000776,IDLE,"114,79,208,199",0.2147,0.4223
59,1.967,haar,0.1707,Disgust,JOY,---,AMBIGUOUS,---,0.0379,0.2845,0.3011,0.0000,0.0610,0.1205,0.000549,IDLE,"114,80,208,199",0.2366,0.4127
60,2.000,haar,0.1785,Disgust,JOY,---,AMBIGUOUS,---,0.0472,0.2975,0.2488,0.0000,0.3096,0.1185,0.000106,IDLE,"114,80,208,200",0.2363,0.4358
61,2.033,haar,0.2184,Disgust,JOY,---,AMBIGUOUS,---,0.0468,0.3640,0.2746,0.0000,0.0806,0.1166,-0.000134,IDLE,"114,80,208,200",0.1629,0.4227
